timestamp,strategy,round,metric,value
2025-12-04 17:01:20,cyclic,1,auc,0.9057770899172876
2025-12-04 17:01:20,cyclic,1,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,2,auc,0.9067833823097217
2025-12-04 17:01:20,cyclic,2,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,3,auc,0.9029182249147244
2025-12-04 17:01:20,cyclic,3,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,4,auc,0.9064768553900907
2025-12-04 17:01:20,cyclic,4,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,5,auc,0.9043041433138107
2025-12-04 17:01:20,cyclic,5,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,6,auc,0.9062934745308391
2025-12-04 17:01:20,cyclic,6,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,7,auc,0.9067764753093732
2025-12-04 17:01:20,cyclic,7,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,8,auc,0.9031598260310799
2025-12-04 17:01:20,cyclic,8,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,9,auc,0.9056632683073785
2025-12-04 17:01:20,cyclic,9,f1,0.3862228462872718
2025-12-04 17:01:20,cyclic,10,auc,0.904248139052652
2025-12-04 17:01:20,cyclic,10,f1,0.3862228462872718
